Site_og,Site,Zone,Upwelling
Chanaral OA,Chanaral de Aceituno OA,North-Center,Y
Chanaral TURF,Chanaral de Aceituno AMERB,North-Center,Y
Isla Grande de Atacama,Isla Grande de Atacama,North,N
La Ballena,La Ballena,Center,N
Los Molles,Los Molles,Center,N
Puerto Viejo,Puerto Viejo,North,N
