"","Site","Zone","Management","ID","Diam_Holdfast","TW_sum","LT","Structure","Weight_Str","porc_TW","FW","DW","High_Holdfast","Stipes","First_bif","Diam_stipes","LT_stipes","Dichot_stipes","ID_IRMS","peso_mg","mg_N2","ug_N2","X15N","mg_C","ug_C","X13C","porc_N","porc_C","C_N"
"190","Chanaral TURF","North-Center","TURF",10,25,18700,265,"Holdfast",3200,17.1122994652406,1.641,0.377,"30","NA","NA","NA","NA","NA",1237,1.519,0.034,34.296,17.16,0.485,485.273,-20.968,2.258,31.947,14.15
"191","Chanaral TURF","North-Center","TURF",10,25,18700,265,"Stipes",8615,46.0695187165775,1.6577,0.4441,"NA","8","33.33333333","43.03333333","161.6666667","161.6666667",1221,1.19,0.024,24.26,10.735,0.385,385.458,-22.27,2.039,32.391,15.889
"192","Chanaral TURF","North-Center","TURF",10,25,18700,265,"Blades",6885,36.8181818181818,0.5311,0.0781,"NA","NA","NA","NA","NA","NA",1206,1.304,0.03,29.601,10.941,0.36,359.847,-25.782,2.27,27.596,12.156
"193","Chanaral TURF","North-Center","TURF",11,9,269,46,"Holdfast",36,13.3828996282528,1.0849,0.2603,"6","NA","NA","NA","NA","NA",1238,1.266,0.028,28.055,11.527,0.444,444.044,-19.563,2.216,35.075,15.828
"194","Chanaral TURF","North-Center","TURF",11,9,269,46,"Stipes",13,4.83271375464684,1.044,0.2457,"NA","10","2","8.666666667","3","3",1222,1.442,0.027,27.41,10.428,0.465,464.787,-20.194,1.901,32.232,16.957
"195","Chanaral TURF","North-Center","TURF",11,9,269,46,"Blades",220,81.7843866171004,0.063,0.1964,"NA","NA","NA","NA","NA","NA",1207,1.402,0.026,26.48,11.774,0.379,378.858,-19.231,1.889,27.023,14.307
"196","Chanaral TURF","North-Center","TURF",12,13,477,82,"Holdfast",55,11.5303983228512,2.136,0.3806,"3","NA","NA","NA","NA","NA",1239,1.101,0.022,21.759,14.38,0.313,312.747,-21.956,1.976,28.406,14.373
"197","Chanaral TURF","North-Center","TURF",12,13,477,82,"Stipes",51,10.6918238993711,2.1318,0.4058,"NA","9","2.733333333","20.2","7.666666667","7.666666667",1223,1.35,0.029,28.71,11.472,0.449,449.346,-24.685,2.127,33.285,15.651
"198","Chanaral TURF","North-Center","TURF",12,13,477,82,"Blades",371,77.7777777777778,1.1844,0.1692,"NA","NA","NA","NA","NA","NA",1208,1.459,0.036,35.824,11.303,0.505,504.827,-23.6,2.455,34.601,14.092
"199","Chanaral TURF","North-Center","TURF",13,9,240,59,"Holdfast",32,13.3333333333333,1.6657,0.3755,"5","NA","NA","NA","NA","NA",1240,1.412,0.026,25.925,12.073,0.462,461.754,-17.462,1.836,32.702,17.811
"200","Chanaral TURF","North-Center","TURF",13,9,240,59,"Stipes",21,8.75,1.7593,0.4725,"NA","5","3","10.3","6.666666667","6.666666667",1224,1.23,0.022,22.491,13.16,0.411,410.697,-16.893,1.829,33.39,18.26
"201","Chanaral TURF","North-Center","TURF",13,9,240,59,"Blades",187,77.9166666666667,0.7263,0.1337,"NA","NA","NA","NA","NA","NA",1209,1.112,0.022,21.57,11.732,0.305,304.958,-17.717,1.94,27.424,14.138
"202","Chanaral TURF","North-Center","TURF",14,5,21,32,"Holdfast",1,4.76190476190476,0.6057,0.154,"3","NA","NA","NA","NA","NA",1241,1.167,0.016,15.654,11.775,0.354,354.413,-26.06,1.341,30.37,22.641
"203","Chanaral TURF","North-Center","TURF",14,5,21,32,"Stipes",1,4.76190476190476,0.3545,0.1112,"NA","1","2","6.7","4","4",1225,1.465,0.027,27.044,11.136,0.441,441.473,-26.953,1.846,30.135,16.325
"204","Chanaral TURF","North-Center","TURF",14,5,21,32,"Blades",19,90.4761904761905,0.8259,0.1067,"NA","NA","NA","NA","NA","NA",1210,1.248,0.022,21.548,11.545,0.327,326.983,-27.741,1.727,26.201,15.174
"205","Chanaral OA","North-Center","OA",1,17,6551,212,"Holdfast",491,7.49503892535491,2.0495,0.4709,"19","NA","NA","NA","NA","NA",1148,1.425,0.028,27.798,13.472,0.479,478.614,-21.467,1.951,33.587,17.218
"206","Chanaral OA","North-Center","OA",1,17,6551,212,"Stipes",3520,53.7322546176156,0.8954,0.225,"NA","1","13","56.9","160","160",1175,1.204,0.023,23.056,10.251,0.38,379.571,-21.63,1.915,31.526,16.463
"207","Chanaral OA","North-Center","OA",1,17,6551,212,"Blades",2540,38.7727064570295,0.817,0.1243,"NA","NA","NA","NA","NA","NA",1126,1.445,0.028,27.639,11.194,0.416,416.177,-21.628,1.913,28.801,15.058
