Serie,Site,Management,Date,Day,Month,Year,Species,Extraction,Weight,Holdfast,Holdfast_perimeter,Stipes,TL,Reproductive,Observaciones
262,Carrizal bajo,AMERB,29-10-18,29,10,2018,Lessonia berteroana,Barreteada,0.32,16,11,7,73,0,
263,Carrizal bajo,AMERB,29-10-18,29,10,2018,Lessonia berteroana,Barreteada,2.26,24,14,9,230,0,
264,Carrizal bajo,AMERB,29-10-18,29,10,2018,Lessonia berteroana,Barreteada,5.24,25,161,31,194,0,
265,Carrizal bajo,AMERB,29-10-18,29,10,2018,Lessonia berteroana,Barreteada,7.68,17,10,21,162,0,
266,Carrizal bajo,AMERB,29-10-18,29,10,2018,Lessonia berteroana,Barreteada,3.98,34,23,45,179,0,
267,Carrizal bajo,AMERB,29-10-18,29,10,2018,Lessonia berteroana,Barreteada,4.48,15,27,14,135,0,
268,Carrizal bajo,AMERB,29-10-18,29,10,2018,Lessonia berteroana,Barreteada,7.8,32,20,13,377,0,
269,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,1.36,14,17,36,110,1,
270,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,6.76,13,20,79,286,0,
271,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,2.42,12.2,18,33,187,1,
272,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,2.62,15,25,5,177,1,
273,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.021,2.4,3.6,4,39,0,
274,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,3.08,12.2,25,2,224,1,
275,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,6.08,18,26,8,227,1,
276,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.014,2,3,11,22,0,
277,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.058,4.4,5.4,16,35,0,
278,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.4,5.6,10,31,102,0,
279,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.78,9,16,26,109,0,
280,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.2,5,6,31,48,0,
281,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.16,4.4,5,15,59,0,
282,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.016,2.6,3.4,32,16.2,0,
283,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,2.44,14,19,25,188,1,
284,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,1,6.6,15.2,22,113,0,
285,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,5.34,14,40,63,175,0,
286,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.44,7.4,15.4,19,136,0,
287,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,1.44,9.2,22,30,200,0,
288,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,1.1,11,19,7,154,1,
289,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,4.546,15.4,29,48,195,1,
290,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,2.16,12.4,30,11,130,1,
291,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.509,6,10,52,98,0,
292,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.004,2,2,15,9,0,
293,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.001,0.6,0.8,9,7.3,0,
294,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.009,2,3,13,22,0,
295,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.071,5,9,14,53,0,
296,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,0.069,6,10,12,60,0,
297,Punta el Yeso,AMERB,04-12-18,4,12,2018,Lessonia berteroana,Barreteada,3.83,21,29,13,197,1,
298,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.26,5.6,8,1,111,1,
299,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.22,12,17,1,100,1,
300,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.2,8,12,2,141,0,
301,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.54,8.4,10.4,3,89,1,
302,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.94,12,14.6,1,136,0,
303,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.22,9,12,2,114,0,
304,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.2,6,6.8,2,119,0,
305,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,1.3,14,16,2,89,1,
306,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.3,5,10,1,94,0,
307,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.88,12,18,4,141,1,
308,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,2.76,30.4,43,3,164,1,
309,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,7.36,26,44,6,221,1,
310,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,3.33,23,29,3,182,1,
311,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.033,5,5,4,47,0,
312,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.007,2,2,2,24,0,
313,Punta el Yeso,AMERB,06-12-18,6,12,2018,Lessonia trabeculata,Barreteada,0.008,1.6,2,2,16,0,
314,Punta el Yeso,AMERB,05-12-18,5,12,2018,Lessonia trabeculata,Barreteada,0.84,13.6,17,1,100,0,
315,Punta el Yeso,AMERB,05-12-18,5,12,2018,Lessonia trabeculata,Barreteada,1.26,20,21,1,103,1,
316,Punta el Yeso,AMERB,05-12-18,5,12,2018,Lessonia trabeculata,Barreteada,1,13,18,1,128,1,
317,Punta el Yeso,AMERB,05-12-18,5,12,2018,Lessonia trabeculata,Barreteada,2.06,13,16,3,138,1,
318,Punta el Yeso,AMERB,05-12-18,5,12,2018,Lessonia trabeculata,Barreteada,2.28,17,21,2,119,1,
319,Punta el Yeso,AMERB,05-12-18,5,12,2018,Lessonia trabeculata,Barreteada,6.5,36,37,5,182,1,
320,Punta el Yeso,AMERB,05-12-18,5,12,2018,Lessonia trabeculata,Barreteada,3.46,22,28,6,166,0,
